ts,symbol,exchange,kind,ltp,bid,ask,spread,volume,oi,open,high,low,prev_close
2026-08-05T15:32:26.527,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:27.072,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:27.622,NIFTY25AUG26FUT,NFO,future,24645.0,24645.0,24647.0,2.0,2904135,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:28.175,SENSEX27AUG26FUT,BFO,future,78884.55,78828.7,78878.25,49.55,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:28.721,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:29.271,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:29.827,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:30.392,NIFTY25AUG26FUT,NFO,future,24645.1,24645.1,24648.9,3.8,2904200,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:30.924,SENSEX27AUG26FUT,BFO,future,78884.55,78829.8,78880.85,51.05,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:31.477,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:32.026,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:32.571,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:33.125,NIFTY25AUG26FUT,NFO,future,24645.1,24645.1,24649.9,4.8,2904330,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:33.674,SENSEX27AUG26FUT,BFO,future,78884.55,78832.25,78880.0,47.75,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:34.222,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:34.866,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:35.323,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:35.892,NIFTY25AUG26FUT,NFO,future,24645.1,24645.1,24649.9,4.8,2904330,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:36.429,SENSEX27AUG26FUT,BFO,future,78884.55,78826.1,78878.9,52.8,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:36.979,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:37.577,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:38.073,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:38.630,NIFTY25AUG26FUT,NFO,future,24645.0,24645.0,24649.9,4.9,2904525,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:39.179,SENSEX27AUG26FUT,BFO,future,78884.55,78827.5,78879.55,52.05,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:39.720,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:40.280,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:40.820,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:41.370,NIFTY25AUG26FUT,NFO,future,24645.0,24645.2,24649.9,4.7,2904525,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:41.927,SENSEX27AUG26FUT,BFO,future,78884.55,78828.3,78879.95,51.65,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:42.471,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:43.023,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:43.571,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:44.120,NIFTY25AUG26FUT,NFO,future,24645.0,24645.2,24649.5,4.3,2904525,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:44.687,SENSEX27AUG26FUT,BFO,future,78884.55,78826.8,78878.85,52.05,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:45.223,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:45.773,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:46.322,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:46.875,NIFTY25AUG26FUT,NFO,future,24645.1,24645.1,24651.0,5.9,2905175,12367420,24715.0,24740.0,24565.0,24555.6
